file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,#tests,#AR,#ET,#MG,#SE,#RO,#FTO,#IT,LOC-ts,AR,ET,MG,SE,RO,FTO,IT
/Users/grano/Desktop/ist-generation-scripts/SF110-src/69_lhamacaw/src/main/java/macaw/presentationLayer/MacawStateEditor.java,macaw.presentationLayer.MacawStateEditor,class,15,32,1,1,43,92,20,8,0,15,0,0,4,274,10,7,7,2,7,0,0,0,628.9,0.7,0.7,0.2,0.7,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/69_lhamacaw/src/main/java/macaw/presentationLayer/VariableLabelTableModel.java,macaw.presentationLayer.VariableLabelTableModel,class,4,53,2,0,27,1,14,13,0,9,3,3,4,264,10,10,10,3,10,0,0,0,921.8,1.0,1.0,0.3,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/84_ifx-framework/src/main/java/org/sourceforge/ifx/basetypes/IFXObject.java,org.sourceforge.ifx.basetypes.IFXObject,class,2,51,1,1176,23,10,5,2,0,1,0,1,6,219,10,10,8,0,8,0,0,0,109.3,1.0,0.8,0.0,0.8,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/gui/HtmlViewerPanel.java,net.sourceforge.squirrel_sql.client.gui.HtmlViewerPanel,class,8,54,5,0,50,140,18,10,0,9,0,2,3,343,10,10,10,0,10,0,0,0,1220.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/gui/db/DriverInternalFrame.java,net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame,class,15,79,12,0,103,190,23,7,0,25,0,4,8,682,10,10,10,0,10,0,0,0,1235.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/mainframe/action/ToggleTreeViewAction.java,net.sourceforge.squirrel_sql.client.mainframe.action.ToggleTreeViewAction,class,7,9,4,0,6,0,3,3,0,3,0,1,0,42,10,10,10,0,10,0,0,0,1250.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/ObjectTreeCellRenderer.java,net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeCellRenderer,class,4,26,6,0,27,7,5,2,0,6,0,0,0,126,10,10,10,7,10,0,0,0,2944.7,1.0,1.0,0.7,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/session/parser/kernel/Parser.java,net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser,class,13,504,1,0,144,1031,110,6,0,15,0,6,0,1741,10,10,10,7,10,0,0,0,2914.7,1.0,1.0,0.7,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/update/gui/installer/PreLaunchHelperImpl.java,net.sourceforge.squirrel_sql.client.update.gui.installer.PreLaunchHelperImpl,class,17,52,1,0,46,118,19,11,0,14,0,0,13,389,10,10,10,0,10,0,0,0,716.2,1.0,1.0,0.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/16_templatedetails/src/main/java/com/rakegroup/JoomlaOutput.java,com.rakegroup.JoomlaOutput,class,38,117,52,0,26,3623,86,85,1,10,0,0,2,413,1,1,1,1,1,0,0,0,1555.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/2_a4j/src/main/java/net/kencochrane/a4j/beans/BrowseNode.java,net.kencochrane.a4j.beans.BrowseNode,class,1,22,1,0,8,35,14,14,0,3,0,0,0,95,10,10,10,1,10,0,0,0,422.7,1.0,1.0,0.1,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/106_checkstyle/src/main/java/com/atlassw/tools/eclipse/checkstyle/config/Module.java,com.atlassw.tools.eclipse.checkstyle.config.Module,class,6,47,1,0,21,125,19,19,0,9,0,0,1,315,10,10,10,5,10,0,0,0,882.8,1.0,1.0,0.5,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/35_corina/src/main/java/corina/gui/ElementsPanel.java,corina.gui.ElementsPanel,class,12,80,9,0,85,216,19,17,0,14,4,4,7,490,8,0,0,0,0,0,0,0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/61_noen/src/main/java/fi/vtt/noen/testgen/observations/formatter/NoenFormatter.java,fi.vtt.noen.testgen.observations.formatter.NoenFormatter,class,6,15,2,0,14,15,6,6,0,1,0,1,0,88,10,0,0,0,0,0,0,0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/61_noen/src/main/java/fi/vtt/noen/mfw/bundle/server/plugins/sac/SACPluginActivator.java,fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator,class,7,31,2,0,22,0,8,5,0,9,0,2,6,184,10,10,10,0,5,0,0,0,227.6,1.0,1.0,0.0,0.5,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/43_lilith/src/main/java/de/huxhorn/lilith/engine/AccessFileBufferFactory.java,de.huxhorn.lilith.engine.AccessFileBufferFactory,class,9,10,2,0,3,1,2,2,0,0,0,0,0,66,1,1,1,1,1,0,0,0,140.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/43_lilith/src/main/java/de/huxhorn/lilith/consumers/AlarmSoundLoggingEventConsumer.java,de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumer,class,4,10,1,0,3,0,3,3,0,1,0,0,0,57,10,10,10,0,2,0,0,0,63.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/main/java/wheel/EngineImpl.java,wheel.EngineImpl,class,29,190,2,0,125,412,36,30,0,25,0,0,1,578,10,9,8,0,10,0,0,0,119.7,0.9,0.8,0.0,1.0,0.0,0.0,0.0
/Users/grano/Desktop/ist-generation-scripts/SF110-src/99_newzgrabber/src/main/java/Newzgrabber/Search.java,Newzgrabber.Search,class,0,16,1,0,17,1,2,2,2,0,0,0,6,67,10,10,0,0,10,0,0,0,136.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0
